index,user_id,gender,age_group,LSM_group1,share_your_home_with,including_yourself_how_many_people_do_you_share_your_home_with,do_to_try_to_stay_healthy,drives_you_to_have_a_healthy_lifestyle,eat_or_drink,steps_to_eat_drink_more_healthily,how_regularly_do_you_exercise,exercise_do_you_enjoy,do_to_help_you_sleep,before_you_go_to_sleep
104,3328481340.0,Male,18-24,High,"[""I live alone""]",3.0,"[""Taking time to relax"", ""Make sure I get enough sleep""]","[""To live longer"", ""Feeling good about myself""]","[""None of the above""]","[""Trying to have a variety of colors on my plate"", ""Shopping at places that have a wide selection of healthy options"", ""Checking nutritional value of the food / drink I purchase"", ""Eating dessert less often""]",Never,,"[""No, none of these""]","[""Heavy meal""]"
108,6960142220.0,Male,25-34,High,"[""Other family members""]",2.0,"[""Eat healthily"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""Prevent health conditions in later life"", ""To support my family"", ""Feeling good about myself""]","[""Halal""]","[""Snacking less often""]",Twice a week,"[""Walking""]","[""Have warm milk"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Watching TV"", ""Heavy meal""]"
111,2493968.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",4.0,"[""Exercise regularly"", ""Make sure I get enough sleep"", ""Stay hydrated""]","[""Prevent health conditions in later life"", ""Have more energy"", ""Feeling good about myself""]","[""None of the above""]","[""Cooking more meals at home""]",3+ times a week,"[""Running""]","[""No, none of these""]","[""Browsing on my cell phone / tablet"", ""Alcohol"", ""Watching TV""]"
113,1430728290.0,Male,18-24,High,"[""Parents""]",5+,"[""Make sure I get enough sleep""]","[""To support my family""]","[""Vegetarian: eat no meat or fish"", ""Low calorie""]","[""Watching the size of my portions"", ""Doing a cleanse""]",3+ times a week,"[""Running"", ""Yoga/Pilates""]","[""Meditate""]","[""Alcohol""]"
115,6883124640.0,Female,25-34,High,"[""Partner / spouse""]",2.0,"[""Make sure I get enough sleep"", ""Stress control methods"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Stay hydrated"", ""Exercise regularly""]","[""To support my family"", ""Prevent health conditions in later life"", ""To improve brain function/ memory""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Checking / reading the ingredients in food / drink products"", ""Doing a cleanse"", ""Making an effort to find healthy recipes"", ""Trying to have a variety of colors on my plate"", ""Eating out at places that have healthy options available"", ""Eating dessert less often"", ""Eating out / ordering takeout less frequently"", ""Watching the size of my portions"", ""Checking nutritional value of the food / drink I purchase"", ""Counting / tracking calories"", ""Cooking more meals at home"", ""Intermittent fasting"", ""Shopping at places that have a wide selection of healthy options"", ""Snacking less often"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Running"", ""Cycling"", ""Walking""]","[""Have warm milk"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal"", ""Caffeine""]"
122,5824563876.0,Female,45+,Low,"[""Children over 18 years old"", ""Children under 18 years old""]",3.0,"[""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Dairy free"", ""Gluten / wheat free""]","[""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products"", ""Making an effort to find healthy recipes""]",Less often,,"[""Take herbal supplements""]","[""Alcohol"", ""Caffeine""]"
123,3411103688.0,Male,45+,Low,"[""I live alone""]",4.0,"[""Take vitamin / other supplements""]","[""Have more energy""]","[""Pescatarian: eat no meat""]","[""Checking nutritional value of the food / drink I purchase""]",3+ times a week,"[""Cycling""]","[""Have herbal tea""]","[""Caffeine""]"
130,6524135960.0,Female,18-24,Medium,"[""Friends / Roommates""]",5+,"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Stress control methods"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""To make the most out of/enjoy life"", ""Prevent health conditions in later life"", ""To live longer""]","[""None of the above""]","[""Eating dessert less often"", ""Trying to have a variety of colors on my plate"", ""Snacking less often"", ""Doing a cleanse""]",Less often,,"[""Have a bath""]","[""Caffeine"", ""Alcohol""]"
131,3646973000.0,Male,45+,Low,"[""Partner / spouse""]",5+,"[""Make sure I get enough sleep""]","[""Prevent health conditions in later life"", ""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life""]","[""None of the above""]","[""None of the above""]",Less often,,"[""No, none of these""]","[""Caffeine"", ""Alcohol""]"
135,3486591640.0,Female,45+,High,"[""Children under 18 years old""]",4.0,"[""Make sure I get enough sleep"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Taking time to relax"", ""Eat healthily""]","[""Feeling good about myself"", ""To improve my sleep"", ""To manage a health / medical condition""]","[""None of the above""]","[""Making an effort to find healthy recipes"", ""Eating dessert less often"", ""Counting / tracking calories"", ""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Hiking"", ""Cycling""]","[""Have a bath""]","[""No, none of these""]"
137,1475072886.0,Male,25-34,Low,"[""Other family members""]",4.0,"[""Meditation / positive mindset methods"", ""Exercise regularly"", ""Stay hydrated"", ""Take vitamin / other supplements"", ""Drink lots of water / fluids""]","[""To live longer""]","[""Low sugar"", ""Low salt"", ""Low calorie""]","[""Checking / reading the ingredients in food / drink products"", ""Snacking less often"", ""Watching the size of my portions""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""No, none of these""]"
140,3116259594.0,Male,45+,Low,"[""I live alone""]",1,"[""Taking time to relax"", ""Stay hydrated"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""Have more energy"", ""To improve brain function/ memory""]","[""Low sugar"", ""Low / zero carb"", ""Gluten / wheat free"", ""Low salt""]","[""Checking / reading the ingredients in food / drink products"", ""Shopping at places that have a wide selection of healthy options"", ""Eating dessert less often""]",Never,,"[""No, none of these""]","[""Heavy meal""]"
145,3015874902.0,Female,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",5+,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""To make the most out of/enjoy life"", ""Feeling good about myself"", ""To improve my sleep""]","[""Halal"", ""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Eating out / ordering takeout less frequently"", ""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home""]",Never,,"[""Remove screens from bedrooms e.g. TV, cell phone""]","[""No, none of these""]"
146,3409011369.0,Male,25-34,High,"[""I live alone""]",1,"[""Stay hydrated""]","[""Have more energy""]","[""None of the above""]","[""Trying to have a variety of colors on my plate""]",Twice a week,"[""Cycling"", ""Swimming""]","[""Have a bath""]","[""Alcohol"", ""Caffeine""]"
147,3652312068.0,Female,25-34,High,"[""Parents""]",4.0,"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Taking time to relax""]","[""To lose / manage my weight""]","[""Low / zero carb""]","[""Eating dessert less often"", ""Making an effort to find healthy recipes""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
151,747837225.0,Male,25-34,Medium,"[""Partner / spouse"", ""Parents""]",4.0,"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Eat healthily""]","[""Prevent health conditions in later life"", ""I feel pressured because everyone else is doing it"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking nutritional value of the food / drink I purchase"", ""Checking / reading the ingredients in food / drink products"", ""Eating out at places that have healthy options available"", ""Filling half my plate with vegetables"", ""Intermittent fasting"", ""Shopping at places that have a wide selection of healthy options"", ""Trying to have a variety of colors on my plate"", ""Watching the size of my portions"", ""Cooking more meals at home""]",3+ times a week,"[""Running""]","[""No, none of these""]","[""No, none of these""]"
155,2654353800.0,Female,18-24,Low,"[""Friends / Roommates""]",5+,"[""Stress control methods""]","[""To manage a health / medical condition"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]","[""Low salt""]","[""Checking / reading the ingredients in food / drink products"", ""Eating out / ordering takeout less frequently""]",Less often,,"[""No, none of these""]","[""Alcohol""]"
162,3292547715.0,Male,25-34,High,"[""I live alone""]",1,"[""Take vitamin / other supplements"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Stress control methods""]","[""I feel pressured because everyone else is doing it""]","[""None of the above""]","[""Eating out / ordering takeout less frequently""]",Few times a month,"[""Cardio / Aerobics / Water aerobics"", ""Running"", ""Hiking"", ""Walking"", ""Cycling"", ""Swimming""]","[""Take sleeping tablets"", ""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk"", ""Have a bath"", ""Meditate""]","[""Checking emails"", ""Alcohol"", ""Heavy meal"", ""Caffeine"", ""Watching TV""]"
164,25079746536.0,Male,25-34,Low,"[""Partner / spouse""]",3.0,"[""Exercise regularly""]","[""To improve my sleep""]","[""None of the above"", ""None of the above""]","[""Making an effort to find healthy recipes""]",3+ times a week,"[""Yoga/Pilates""]","[""No, none of these""]","[""Browsing on my cell phone / tablet""]"
167,4821810150.0,Male,18-24,High,"[""I live alone""]",1,"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Exercise regularly""]","[""Prevent health conditions in later life"", ""Have more energy"", ""To lose / manage my weight""]","[""Low sugar""]","[""Counting / tracking calories"", ""Making an effort to find healthy recipes"", ""Watching the size of my portions""]",3+ times a week,"[""Running"", ""Cardio / Aerobics / Water aerobics"", ""Weights"", ""Swimming"", ""Strength training""]","[""No, none of these""]","[""Heavy meal""]"
168,6162829593.0,Male,25-34,High,"[""Parents""]",5+,"[""Eat healthily"", ""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Meditation / positive mindset methods"", ""Make sure I get enough sleep"", ""Stay hydrated"", ""Take vitamin / other supplements"", ""Stress control methods""]","[""To live longer"", ""To support my family"", ""Feeling good about myself""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Watching the size of my portions""]",Few times a month,"[""Cardio / Aerobics / Water aerobics""]","[""Have a bath""]","[""Caffeine""]"
175,5979965684.0,Female,18-24,Medium,"[""Friends / Roommates""]",2.0,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Eat healthily""]","[""Have more energy"", ""To improve my sleep"", ""Feeling good about myself""]","[""Low / zero carb""]","[""Checking / reading the ingredients in food / drink products""]",Less often,,"[""Have a bath"", ""Have herbal tea"", ""Have warm milk""]","[""Caffeine"", ""Alcohol""]"
177,3895742862.0,Male,45+,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Stress control methods"", ""Taking time to relax""]","[""To improve brain function/ memory"", ""To set a good example for my family"", ""Feeling good about myself""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Low sugar""]","[""None of the above""]",Never,,"[""No, none of these""]","[""No, none of these""]"
178,3567951312.0,Female,35-44,Medium,"[""Partner / spouse""]",4.0,"[""Eat healthily"", ""Exercise regularly""]","[""Prevent health conditions in later life"", ""To make the most out of/enjoy life"", ""To live longer""]","[""Low cholesterol""]","[""Filling half my plate with vegetables""]",3+ times a week,"[""Weights""]","[""No, none of these""]","[""Heavy meal"", ""Caffeine""]"
183,1626255336.0,Female,25-34,Medium,"[""I live alone""]",1,"[""Eat healthily"", ""Exercise regularly"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements"", ""Taking time to relax""]","[""To lose / manage my weight"", ""To manage a health / medical condition"", ""Specific event (e.g. holiday, wedding)""]","[""Low calorie""]","[""Eating out / ordering takeout less frequently"", ""Making an effort to find healthy recipes"", ""Watching the size of my portions"", ""Eating dessert less often"", ""Counting / tracking calories""]",3+ times a week,"[""Walking""]","[""Have warm milk"", ""Take sleeping tablets"", ""Have a bath""]","[""Alcohol"", ""Caffeine"", ""Watching TV"", ""Browsing on my mobile  phone / tablet""]"
184,6406976915.0,Female,25-34,High,"[""Partner / spouse""]",4.0,"[""Stay hydrated"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Stress control methods"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Exercise regularly""]","[""To lose / manage my weight"", ""To live longer"", ""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often"", ""Cooking more meals at home"", ""Checking nutritional value of the food / drink I purchase"", ""Checking / reading the ingredients in food / drink products"", ""Eating dessert less often"", ""Making an effort to find healthy recipes"", ""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Weights"", ""Cycling"", ""Running""]","[""Have a bath"", ""Have warm milk"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal"", ""Watching TV"", ""Browsing on my cell phone / tablet""]"
